id,name,female_plot,male_plot,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,next_plot,events.events.type,events.events.arg,events.events.arg,fief_events.events.type,fief_events.events.arg,fief_events.events.arg,fief_events.events.type,fief_events.events.arg,fief_events.events.arg,lock_option
100000,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆之前，接受了一位奄奄一息的老人。然而人类无法抵挡大自然的力量，老人终究还是驾鹤西去了。不过老人的子侄们无法接受老人躺进躺出这个事实，要求医馆赔偿。主人觉得如何？,,,,,100001,,,,,,,,,,
100001,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆接受了病人，就意味着承担了这份责任。然而生老病死，人力所能做有限，医馆的确尽力了。,,,OPTIONS,100001,,,,,,,,,,,,,,,,,,,,,,,
100002,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆出于人道，支付了一笔资金安抚了死者家属。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_MONEY,25,ADD_RESOURCE,FRT_ORDER,75,
100003,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆坚持自己已经尽力，拒绝赔偿，引起死者家属不满。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_ORDER,25,ADD_RESOURCE,FRT_MONEY,75,
100020,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆接收了一名病入膏肓的老人，如要救治老人，需要用到西域进贡的珍贵器材，价格高昂。老人家属拒绝支付这笔费用。很快，老人就去世了。老人家属却坚称医馆见死不救，要求医馆赔偿。,,,,,100021,,,,,,,,,,
100021,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,求死扶伤，医馆的职责，见死不救的确违背道德。然而医馆却不是慈善机构，没有义务无偿救治病人。,,,OPTIONS,100021,,,,,,,,,,,,,,,,,,,,,,,
100022,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆支付了一笔资金，安抚了死者家属。,,,,,,,,,,,,,,,,,DEC_RESOURCE,FRT_MONEY,25,ADD_RESOURCE,FRT_ORDER,75,
100023,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆拒绝支付赔偿，引起了死者家属的不满。,,,,,,,,,,,,,,,,,ADD_RESOURCE,FRT_MONEY,75,DEC_RESOURCE,FRT_ORDER,75,
100030,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,MUSIC,music/nalanyiguan,,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_appear,,ACTOR_ANIMATION,FIEF_MANAGER_ANIMATION,left_disappear,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,前几日，一伙人抬着位行将就木的老人来到医馆。医者思虑后，觉得非大罗神仙无法救治老人，因此拒接老人。不出所料，老人路途中去世了。老人家属无法接受这个结局，把老人死因归咎于医馆。,,,,,100031,,,,,,,,,,
100031,,,,BACKGROUND,ui/fief/buildInfoBG/FBT_HOSPITAL,,,LIGHT_ACTOR,FIEF_MANAGER_ANIMATION,,,NAME,FIEF_MANAGER_NAME,,,SUBTITLE,医馆做法欠妥，没有顾虑病人家属情绪。然而限于医疗水平，医馆的确无法救治老人。,,,OPTIONS,100031,,,,,,,,,,,,,,,,,,,,,,,
