id,name,female_plot,male_plot,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,next_plot,events.events.type,events.events.arg,events.events.arg,fief_events.events.type,fief_events.events.arg,fief_events.events.arg,lock_option
400010,,,,DIALOG_BUBBLE,寿宴的时辰快到了，赶紧去换衣服吧。,2,soundeffects/410010,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400020,,,,DIALOG_BUBBLE,需要换装时会有更衣两个字，记得准备好衣物更换！,2,soundeffects/410020,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400021,,,,DIALOG_BUBBLE,这里可以看到此次换装需求的风格。,2,soundeffects/410021,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400030,,,,DIALOG_BUBBLE,除了首次奖励，拿到甲级评分，可是有额外奖励的。,4,soundeffects/410030,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400040,,,,DIALOG_BUBBLE,了解之后，点击这里我们开始换装。,3,soundeffects/410040,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400049,,,,DIALOG_BUBBLE,先换个合适的发型吧。,1,soundeffects/410049,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400050,,,,DIALOG_BUBBLE,华丽性感的盛典发型很合适，先换上这个。,5,soundeffects/410050,HIGHLIGHT,,,,HAND_SLIDE,,,,,,,,,,,,,
400051,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400060,,,,DIALOG_BUBBLE,光是发型还不够，选个头饰搭配会更好看。,2,soundeffects/410060,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400070,,,,DIALOG_BUBBLE,就是它了，专门为寿宴准备的头饰。,5,soundeffects/410070,HIGHLIGHT,,,,HAND_SLIDE,,,,,,,,,,,,,
400071,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400080,,,,DIALOG_BUBBLE,接下来把衣服也换了吧！,1,soundeffects/410080,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400090,,,,DIALOG_BUBBLE,如此盛典，当然要有这么一套衣服！,5,soundeffects/410090,HIGHLIGHT,,,,HAND_SLIDE,,,,,,,,,,,,,
400091,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
400092,,,,DIALOG_BUBBLE,好像还差点气势？如果是披在身上的东西就好了。,2,soundeffects/410092,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400093,,,,DIALOG_BUBBLE,换上这件披风就完美了！赶紧去宴会吧！,2,soundeffects/410093,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400100,,,,DIALOG_BUBBLE,终于换完了，点这个评分来看看我们的衣服怎么样吧！,3,soundeffects/410100,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400110,,,,DIALOG_BUBBLE,绿色的折子代表有战斗发生，好好的宴会怎么会有敌人，我们快来看看吧。,2,soundeffects/410110,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400120,,,,DIALOG_BUBBLE,这里可以查看通关条件，通关奖励，可能掉落。,4,soundeffects/410120,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400130,,,,DIALOG_BUBBLE,这边可以观察敌人的阵容。,1,soundeffects/410130,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400140,,,,DIALOG_BUBBLE,我们快点进去看看发生了什么吧。,3,soundeffects/410140,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400150,,,,DIALOG_BUBBLE,突如其来的变故，需要知道如何战斗，首个技能没有冷却时间，我们要先发制人，选择技能释放的目标击败他们。,1,soundeffects/410150,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400160,,,,DIALOG_BUBBLE,他们每回合都会出手，我们需要集中攻击来击败目标，减少我们受到的伤害。,1,soundeffects/410160,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
400170,,,,DIALOG_BUBBLE,第二个技能将更加厉害，现在已经准备好了。,2,soundeffects/410170,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
