id,name,female_plot,male_plot,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,next_plot,events.events.type,events.events.arg,events.events.arg,fief_events.events.type,fief_events.events.arg,fief_events.events.arg,lock_option
200100,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_ANIMATION,MANSION_HALL_QUESTER_A_ANIMATION,left_appear,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,咦，你看，前面有人想往池里放生水龟。,,,,,,,,,ACTOR_ANIMATION,MANSION_HALL_QUESTER_B_ANIMATION,right_appear,,LIGHT_ACTOR,MANSION_HALL_QUESTER_B_ANIMATION,,,NAME,MANSION_HALL_QUESTER_B_NAME,,,SUBTITLE,等等，我看这事略有蹊跷。,,,,,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,哪里蹊跷了？,,,,,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_B_ANIMATION,,,NAME,MANSION_HALL_QUESTER_B_NAME,,,SUBTITLE,你看那龟脚平且粗壮，分明是只陆龟！,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,这可糟糕了，我们给快去阻止他杀生！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANGE_ACTOR_INTIMACY,40,,,,,
200101,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_ANIMATION,MANSION_HALL_QUESTER_A_ANIMATION,left_appear,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,哎呀！我的碧玉滕花佩不见了！,,,,,,,,,ACTOR_ANIMATION,MANSION_HALL_QUESTER_B_ANIMATION,right_appear,,LIGHT_ACTOR,MANSION_HALL_QUESTER_B_ANIMATION,,,NAME,MANSION_HALL_QUESTER_B_NAME,,,SUBTITLE,刚刚你在池边磕碰了一番，是不是那时候掉池里了？,,,,,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,估计真如你所说，真是出门不利，我还挺喜欢那块玉佩的。,,,,,,,,,ACTOR_ANIMATION,MANSION_HALL_QUESTER_B_ANIMATION,right_disappear,,NAME,谜之声,,,SUBTITLE,请问是你们掉了玉佩么？,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,没，没错，我腰间的玉佩不见了,,,,,,,,,NAME,谜之声,,,SUBTITLE,那么……你掉的是哪块玉佩呢？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200102,CHANGE_ACTOR_INTIMACY,40,,,,,
200102,,,,BACKGROUND,sprites/juqing_huayuan1,,,OPTIONS,200102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200103,,,,BACKGROUND,sprites/juqing_huayuan1,,,SUBTITLE,[旁白]迷之声悄然消失了，你发现自己手上多了个东西，却不是那块玉佩。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200104,,,,BACKGROUND,sprites/juqing_huayuan1,,,SUBTITLE,[旁白]感觉到腰间仿佛被谁碰了下，定睛一看，掉了的玉佩居然回来了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200105,,,,BACKGROUND,sprites/juqing_huayuan1,,,SUBTITLE,[旁白]迷之声悄然消失了，发现自己手上多了个东西，却不是那块玉佩。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200106,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_ANIMATION,MANSION_HALL_QUESTER_A_ANIMATION,left_appear,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,不好，前面有人落水了！,,,,,,,,,ACTOR_ANIMATION,MANSION_HALL_QUESTER_B_ANIMATION,right_appear,,LIGHT_ACTOR,MANSION_HALL_QUESTER_B_ANIMATION,,,NAME,MANSION_HALL_QUESTER_B_NAME,,,SUBTITLE,是%{NAME}的丫鬟，看旁边的衣服，应该是洗衣时不慎落水的！,,,,,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,现在不是推理的时候，救人要紧！,,,,,,,,,SUBTITLE,[旁白]快速的跳下水，赶紧的把落水的丫鬟救了上来。,,,,,,,,,,,,,LIGHT_ACTOR,406,,,NAME,丫鬟,,,SUBTITLE,唔……咳咳！多谢二位救命之恩，小女子无以为报，只能以身相许了！,,,,,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,区、区区小事，何足挂齿，我们有事先撤了！哈、哈哈哈……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANGE_ACTOR_INTIMACY,40,,,,,
200107,,,,BACKGROUND,sprites/juqing_huayuan2,,,MUSIC,music/richang1,open,,SUBTITLE,[旁白]夜晚，只见一个男子在湖中亭鬼鬼祟祟的摸索着。,,,,,,,,,,,,,,,,,,,,,ACTOR_ANIMATION,MANSION_HALL_QUESTER_A_ANIMATION,left_appear,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,你看，前面那人形迹可疑，不知在干些什么？,,,,,,,,,ACTOR_ANIMATION,MANSION_HALL_QUESTER_B_ANIMATION,right_appear,,LIGHT_ACTOR,MANSION_HALL_QUESTER_B_ANIMATION,,,NAME,MANSION_HALL_QUESTER_B_NAME,,,SUBTITLE,喂，你在这干什么呢？,,,,,NAME,形迹可疑的男子,,,SUBTITLE,两位大人放过小子吧，我只是一时鬼迷心窍！,,,,,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,我们还什么都没问，你就心虚成这个样子！,,,,,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_B_ANIMATION,,,NAME,MANSION_HALL_QUESTER_B_NAME,,,SUBTITLE,果然干了坏事，快点和我们去见官！,,,,,,,,,NAME,形迹可疑的男子,,,SUBTITLE,这是我的全部家当，就请二位高抬贵手吧！,,,,,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_B_ANIMATION,,,NAME,MANSION_HALL_QUESTER_B_NAME,,,SUBTITLE,跑的这么快……做坏事的胆子还这么小。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANGE_ACTOR_INTIMACY,100,,,,,
200108,,,,BACKGROUND,sprites/juqing_huayuan2,,,MUSIC,music/richang1,open,,SUBTITLE,[旁白]入夜，一群丫鬟围在了池塘边上。,,,,,,,,,,,,,,,,,,,,,ACTOR_ANIMATION,MANSION_HALL_QUESTER_A_ANIMATION,left_appear,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,府里的丫鬟们在前面干嘛？,,,,,,,,,ACTOR_ANIMATION,MANSION_HALL_QUESTER_B_ANIMATION,right_appear,,LIGHT_ACTOR,MANSION_HALL_QUESTER_B_ANIMATION,,,NAME,MANSION_HALL_QUESTER_B_NAME,,,SUBTITLE,我也挺好奇的，上去看看吧。,,,,,SUBTITLE,[旁白]走进一看，只见池塘里一个个精致的莲花灯，美不胜收。,,,,,,,,,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,今天是什么节日么，你们在这里放花灯。,,,,,,,,,LIGHT_ACTOR,406,,,NAME,丫鬟,,,SUBTITLE,禀告二位，今天不是什么节日，只是小主对我们姐妹太好了，我们姐妹合计着一起帮小主祈福呢！,,,,,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_B_ANIMATION,,,NAME,MANSION_HALL_QUESTER_B_NAME,,,SUBTITLE,%{NAME}有你们这样的丫鬟真是太幸福了！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANGE_ACTOR_INTIMACY,100,,,,,
200200,,,,BACKGROUND,sprites/juqing_jiedao2,,,MUSIC,music/richang1,open,,SUBTITLE,[旁白]夜色垂暮，街道上却依然人来人往，好不热闹。,,,,,,,,,,,,,,,,,,,,,ACTOR_ANIMATION,MANSION_HALL_QUESTER_A_ANIMATION,left_appear,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,前面聚集了这么多人，肯定有好玩的，走走走快去看看！,,,,,,,,,ACTOR_ANIMATION,MANSION_HALL_QUESTER_B_ANIMATION,right_appear,,LIGHT_ACTOR,MANSION_HALL_QUESTER_B_ANIMATION,,,NAME,MANSION_HALL_QUESTER_B_NAME,,,SUBTITLE,原来是在猜灯谜，这下可好玩了。,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_A_ANIMATION,,,NAME,MANSION_HALL_QUESTER_A_NAME,,,SUBTITLE,怎么？你也喜欢这个，要不要来比一比？,,,,,LIGHT_ACTOR,MANSION_HALL_QUESTER_B_ANIMATION,,,NAME,MANSION_HALL_QUESTER_B_NAME,,,SUBTITLE,那你莫怪我不客气！来看看下个灯谜是什么。,,,,,,,,,SUBTITLE,[旁白]一入西川水势平，猜一字。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200201,CHANGE_ACTOR_INTIMACY,40,,,,,
