id,name,female_plot,male_plot,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,next_plot,events.events.type,events.events.arg,events.events.arg,fief_events.events.type,fief_events.events.arg,fief_events.events.arg,lock_option
500001,,500101,500102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500002,,500201,500202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500003,,500301,500302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500004,,500401,500402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500005,,501101,501151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500006,,502101,502102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500007,,503201,503202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500008,,504101,504102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500009,,505101,505102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500010,,503301,503401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
