id,name,icon,original_price,price,discount,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,first_events.events.type,first_events.events.arg,first_events.events.arg,days,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events_mail,yunying_id,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_percent,merge_change_name_mail,type
1,赐金月俸,icon/gemstone/jchdnew_16,30,30,,ADD_RESOURCE,DIAMOND,300,,,ADD_RESOURCE,VIP_EXP,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,ADD_RESOURCE,DIAMOND,100,,,,,,,,,,54,ks0001,ADD_RESOURCE,DIAMOND,300,ADD_RESOURCE,VIP_EXP,150,,,,,,,,,,,,,,,,,,,2000,,RT_GOLD_MONTH_CARD
2,赐物月俸,icon/gemstone/jchdnew_17,30,30,,ADD_RESOURCE,DIAMOND,300,,,ADD_RESOURCE,VIP_EXP,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,ADD_RESOURCE,GOLD,10000,ADD_ITEM,15,1,ADD_ITEM,14,1,ADD_ITEM,1,1,55,ks0002,ADD_RESOURCE,DIAMOND,300,ADD_RESOURCE,VIP_EXP,150,,,,,,,,,,,,,,,,,,,2000,,RT_GENERAL_MONTH_CARD
3,6元充值,icon/resource/yuanbao,6,6,,ADD_RESOURCE,DIAMOND,60,,,ADD_RESOURCE,VIP_EXP,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,DIAMOND,60,,,,,,,,,,,,,,,ks0003,ADD_RESOURCE,DIAMOND,60,ADD_RESOURCE,VIP_EXP,30,,,,,,,,,,,,,,,,,,,2000,,
4,30元充值,icon/resource/jinbing_7,30,30,,ADD_RESOURCE,DIAMOND,300,,,ADD_RESOURCE,VIP_EXP,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,DIAMOND,300,,,,,,,,,,,,,,,ks0004,ADD_RESOURCE,DIAMOND,300,ADD_RESOURCE,VIP_EXP,150,,,,,,,,,,,,,,,,,,,2000,,
5,98元充值,icon/resource/jinbing_1,98,98,,ADD_RESOURCE,DIAMOND,980,,,ADD_ITEM,10004,1,,,ADD_RESOURCE,VIP_EXP,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,DIAMOND,980,,,,,,,,,,,,,,,ks0005,ADD_RESOURCE,DIAMOND,980,ADD_ITEM,10004,1,ADD_RESOURCE,VIP_EXP,490,,,,,,,,,,,,,,,,2000,,
6,198元充值,icon/resource/jinbing_2,198,198,,ADD_RESOURCE,DIAMOND,1980,,,ADD_ITEM,10004,2,,,ADD_RESOURCE,VIP_EXP,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,DIAMOND,1980,,,,,,,,,,,,,,,ks0006,ADD_RESOURCE,DIAMOND,1980,ADD_ITEM,10004,2,ADD_RESOURCE,VIP_EXP,990,,,,,,,,,,,,,,,,2000,,
7,328元充值,icon/resource/jinbing_6,328,328,,ADD_RESOURCE,DIAMOND,3280,,,ADD_ITEM,10004,4,,,ADD_RESOURCE,VIP_EXP,3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,DIAMOND,3280,,,,,,,,,,,,,,,ks0007,ADD_RESOURCE,DIAMOND,3280,ADD_ITEM,10004,4,ADD_RESOURCE,VIP_EXP,1640,,,,,,,,,,,,,,,,2000,,
8,648元充值,icon/resource/jinbing_4,648,648,,ADD_RESOURCE,DIAMOND,6480,,,ADD_ITEM,10004,8,,,ADD_RESOURCE,VIP_EXP,6480,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,DIAMOND,6480,,,,,,,,,,,,,,,ks0008,ADD_RESOURCE,DIAMOND,6480,ADD_ITEM,10004,8,ADD_RESOURCE,VIP_EXP,3240,,,,,,,,,,,,,,,,2000,,
101,初级特供礼包,icon/item/giftbox_3,10,1,100,ADD_RESOURCE,VIP_EXP,10,,,ADD_RESOURCE,DIAMOND,10,,,ADD_ITEM,6,3,,,ADD_RESOURCE,ACTOR_EXP,2000,,,DROP,50301,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks0101,ADD_RESOURCE,VIP_EXP,5,ADD_RESOURCE,DIAMOND,10,ADD_ITEM,6,3,,,,,,,,,,,,,,,,2000,,
102,中级特供礼包,icon/item/giftbox_2,30,3,100,ADD_RESOURCE,VIP_EXP,30,,,ADD_RESOURCE,DIAMOND,30,,,ADD_ITEM,1,3,,,ADD_ITEM,14,3,,,DROP,50302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks0102,ADD_RESOURCE,VIP_EXP,15,ADD_RESOURCE,DIAMOND,30,ADD_ITEM,1,3,ADD_ITEM,14,3,ADD_ITEM,3,3,,,,,,,,,,2000,,
