type,name,desc,icon,quality,reset_everyday,reset_every_week,max_value,grow_minutes,grow_value
POWER,体力,在游戏内参与战斗等活动需要消耗的主要消耗资源。,icon/resource/tili,4,,,5000,6,1
EXP,主角经验,用于提升主角等级的资源，只能在每日任务中或者消耗体力获得。,icon/resource/exp,4,,,,,
GOLD,银饼,流通货币，花魂、学识等系统中都会用到的必要货币。,icon/resource/yinbi,4,,,,,
DIAMOND,金饼,用金浇铸的圆形货币，只流通于贵族之间，是尊贵的象征。,icon/resource/yuanbao,4,,,,,
ACTOR_EXP,阅历,提供伙伴升级的资源,icon/resource/yueli,4,,,,,
POWER_GROW_MAX,体力上限,最大体力,icon/resource/tili,4,,,,,
LEAGUE_DONATION,贡献,家族中产出，能在贡献商店中兑换物品的货币。,icon/resource/jiazugongxian,4,,,,,
ARENA_REPUTATION,声望,比武中产出，能在声望商店中兑换物品的货币。,icon/resource/shengwang,4,,,,,
ARENA_CHANCE,比武挑战次数,比武的每日挑战次数,icon/resource/cishu,4,10,,10,,
MING_PAI,花冢挑战次数,挑战花冢需要的资源,icon/resource/mingpai,4,5,,5,,
HUANZHUANG_PVP_VOTE_FEMALE,选票女,锦绣台投票一次，点赞后自己也可获得奖励。,icon/resource/juesai,4,1,,,,
HUANZHUANG_PVP_VOTE_MALE,选票男,锦绣台投票一次，点赞后自己也可获得奖励。,icon/resource/juesai,4,1,,,,
HUANZHUANG_PVP_UPVOTE_CHANCE,点赞数,锦绣台昨日榜中给欣赏的人点赞的次数，点赞后自己也可获得奖励。,icon/resource/cishu,4,3,,,,
EVERYDAY_QUEST_SCORE,每日积分,每日任务中用于累计获得积分宝箱的资源，每日凌晨5点清空。,icon/resource/meirijifen,4,0,,,,
VIGOR,活力,玩家在游戏内参与府邸等玩法的主要消耗资源。,icon/resource/huoli,4,,,5000,60,5
ADVENTURE_CHANCE,列传副本挑战次数,列传副本通用挑战次数,icon/resource/cishu,4,5,,5,,
SEVEN_DAYS_POINT_A,首周积分,只能在首周冲刺中获得，用于领取时装大奖的积分。,icon/resource/jifen,4,,,,,
SEVEN_DAYS_POINT_B,次周积分,只能在次周好礼中获得，用于领取首饰大奖的积分。,icon/resource/jifen,4,,,,,
COUPON_A,诗会函,诗会中用于拜访结交名流的邀请函。,icon/resource/xiaochuanpiao,4,,,,,
COUPON_B,豪华诗会函,用精致的金丝镶边制成，可用于参加豪华诗会，结交传说中的名流。,icon/resource/dachuanpiao,4,,,,,
LEAGUE_LUCKY_BAG_ISSUE,挂福袋次数,挂福袋次数,icon/resource/cishu,4,3,,3,,
LEAGUE_LUCKY_BAG_OPEN,开福袋次数,开福袋次数,icon/resource/cishu,4,20,,20,,
LEAGUE_LUCKY_BAG_BUY_ISSUE,购买挂福袋,购买挂福袋,icon/resource/cishu,4,3,,3,,
LEAGUE_LUCKY_BAG_BUY_OPEN,购买开福袋,购买开福袋,icon/resource/cishu,4,3,,3,,
LEAGUE_CHALLENGE_CAMPAIGN,家族副本挑战次数,家族副本挑战次数,icon/resource/cishu,4,5,,5,,
LEAGUE_BUY_CHALLENGE,购买家族副本挑战次数,购买家族副本挑战次数,icon/resource/cishu,4,5,,5,,
GONGDOU_RESPECT,请安次数,请安次数,icon/resource/zhangzui,4,10,,10,,
GONGDOU_SLANDER,谣言次数,谣言次数,icon/resource/cishu,4,3,,3,,
GONGDOU_SLAP,掌嘴次数,掌嘴次数,icon/resource/jiaxing,4,3,,3,,
