fate,old_desc,new_desc,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,events.events.type,events.events.arg,events.events.arg
0,归程·马车失火,突现·贵人助,COST_RESOURCE,TIAN_SHU_MO,20,,,
1,门塌·无路可退,车停·曙光明,COST_RESOURCE,TIAN_SHU_MO,20,,,
2,刀寒·杀机四伏,路滑·刀手卒,COST_RESOURCE,TIAN_SHU_MO,20,ACTOR_UNLOCK_SKILL,50302,
3,开窗·烈鹫飞袭,冷矢·鸟落羽,COST_RESOURCE,TIAN_SHU_MO,20,,,
4,品茗·毒蛛藏杯,触烫·茶盏碎,COST_RESOURCE,TIAN_SHU_MO,20,,,
5,打水·硕鼠断绳,猫逛·含尾溜,COST_RESOURCE,TIAN_SHU_MO,20,ACTOR_UNLOCK_SKILL,50412,
6,闲郊·野树落瓜,闪躲·取瓤食,COST_RESOURCE,TIAN_SHU_MO,20,,,
7,远眺·悬崖崩塌,援手·良人救,COST_RESOURCE,TIAN_SHU_MO,20,,,
8,大意·人面兽心,巧戏·衙差到,COST_RESOURCE,TIAN_SHU_MO,20,ACTOR_UNLOCK_SKILL,50303,
9,受邀·游园惊梦,勇赴·鸿门宴,COST_RESOURCE,TIAN_SHU_MO,20,,,
10,客座·如狼环伺,舌战·众惊详,COST_RESOURCE,TIAN_SHU_MO,20,,,
11,压轴·咄咄逼人,含笑·剑倾城,COST_RESOURCE,TIAN_SHU_MO,20,ACTOR_UNLOCK_SKILL,50201,
12,请酒·推辞难破,妙计·袖乾坤,COST_RESOURCE,TIAN_SHU_MO,20,,,
13,赋诗·流觞寒骨,温花·字随行,COST_RESOURCE,TIAN_SHU_MO,20,,,
14,歌调·它音未载,遮目·广陵散,COST_RESOURCE,TIAN_SHU_MO,20,ACTOR_UNLOCK_SKILL,50411,
15,走廊·偶闻诡计,仰视·梁上藏,COST_RESOURCE,TIAN_SHU_MO,20,,,
16,爬柱·梁上有人,捂嘴·友非敌,COST_RESOURCE,TIAN_SHU_MO,20,,,
17,报信·终被发现,装傻·三不知,COST_RESOURCE,TIAN_SHU_MO,20,ACTOR_UNLOCK_SKILL,50408,
18,贺寿·无礼可送,女红·缝衣框,COST_RESOURCE,TIAN_SHU_MO,20,,,
19,初成·染料脏衣,藏手·织女裳,COST_RESOURCE,TIAN_SHU_MO,20,,,
20,歹人·持剪开腰,再接·佳礼成,COST_RESOURCE,TIAN_SHU_MO,20,ACTOR_UNLOCK_SKILL,50208,
21,子时·古井鬼哭,探路·鸟夜啼,COST_RESOURCE,TIAN_SHU_MO,20,,,
22,空房·棺材横尸,焚香·祭前人,COST_RESOURCE,TIAN_SHU_MO,20,,,
23,惊魂·凭空出火,缘由·磷粉磨,COST_RESOURCE,TIAN_SHU_MO,20,ACTOR_UNLOCK_SKILL,50209,
24,天灾·饥民四逃,点墨·良计施,COST_RESOURCE,TIAN_SHU_MO,20,,,
25,争功·散播流言,出面·谣得破,COST_RESOURCE,TIAN_SHU_MO,20,,,
26,大殿·皇上质问,诰封·玉卷着,COST_RESOURCE,TIAN_SHU_MO,20,ACTOR_UNLOCK_SKILL,50210,
