level,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,mail
1,COST_RESOURCE,EXP,30,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
2,COST_RESOURCE,EXP,50,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
3,COST_RESOURCE,EXP,50,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
4,COST_RESOURCE,EXP,50,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
5,COST_RESOURCE,EXP,80,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
6,COST_RESOURCE,EXP,50,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
7,COST_RESOURCE,EXP,50,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
8,COST_RESOURCE,EXP,50,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
9,COST_RESOURCE,EXP,50,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
10,COST_RESOURCE,EXP,70,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
11,COST_RESOURCE,EXP,80,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
12,COST_RESOURCE,EXP,90,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
13,COST_RESOURCE,EXP,120,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
14,COST_RESOURCE,EXP,150,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
15,COST_RESOURCE,EXP,250,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,19
16,COST_RESOURCE,EXP,250,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
17,COST_RESOURCE,EXP,300,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
18,COST_RESOURCE,EXP,300,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
19,COST_RESOURCE,EXP,350,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,ACCEPT_QUEST,6301,,ACCEPT_QUEST,6302,,ACCEPT_QUEST,6303,,ACCEPT_QUEST,6304,,ACCEPT_QUEST,6305,,
20,COST_RESOURCE,EXP,400,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,20
21,COST_RESOURCE,EXP,450,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
22,COST_RESOURCE,EXP,500,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
23,COST_RESOURCE,EXP,500,ADD_RESOURCE,POWER_GROW_MAX,1,ADD_RESOURCE,POWER,10,,,,,,,,,,,,,,,,
