server_id,servername,ip,port,status,suggest,new,channel_ids,not_recomment
1,CE测试服,122.152.204.148,7002,LIUCHANG,True,,0,
2,jxwy_test1,122.152.207.186,7001,LIUCHANG,,,0,
3,外网一区,61.153.100.105,7017,LIUCHANG,,True,0,
4,aaron,10.1.1.90,7017,LIUCHANG,True,,0,
5,duanlei,10.1.2.204,6017,LIUCHANG,,,0,
6,cage,10.1.1.90,9527,LIUCHANG,,,0,
7,alen,10.1.1.90,10117,LIUCHANG,,,0,
8,kurumi,10.1.1.90,9342,LIUCHANG,,,0,
9,测试服,127.0.1.1,7017,LIUCHANG,,,0,
10,nora_9017,10.1.2.27,9017,LIUCHANG,,,0,
11,nora_8017,10.1.2.27,8017,LIUCHANG,,,0,
12,nora_7017,10.1.2.27,7017,LIUCHANG,,,0,
13,pysong,10.1.2.207,9017,LIUCHANG,,,0,
14,adonis,10.1.2.204,10107,LIUCHANG,,,0,
15,aaron_2,10.1.1.90,7517,LIUCHANG,,,0,
16,kilen,10.1.1.90,8017,LIUCHANG,True,True,0,
17,nova,10.1.1.90,25527,LIUCHANG,,True,0,
18,cage2,10.1.1.90,19527,LIUCHANG,,,0,
