id,name,slot,multi_step_damages.pttids,multi_step_damages.weight,multi_step_damages.pttids,multi_step_damages.weight,multi_step_damages.pttids,multi_step_damages.weight,multi_step_damages.pttids,multi_step_damages.weight,multi_step_damages.pttids,multi_step_damages.weight,multi_step_damages.pttids,multi_step_damages.weight,damage_type,target_find.target_grids,target_find.target_select,target_find.target_filters.target_filters.type,target_find.target_filters.target_filters.arg,target_find.target_filters.target_filters.type,target_find.target_filters.target_filters.arg,target_find.target_sort,target_find.max_target,target_find.target_is_grid,opacity,speed,type,time,icon,scale,cd,default_cd,on_cast_self.pttid,on_cast_self.caster,on_cast_self.target,on_cast_self.pttid,on_cast_self.caster,on_cast_self.target,on_cast.pttid,on_cast.caster,on_cast.target,on_cast.pttid,on_cast.caster,on_cast.target,on_hit.pttid,on_hit.caster,on_hit.target,on_hit.pttid,on_hit.caster,on_hit.target,on_hit.pttid,on_hit.caster,on_hit.target,on_hit.pttid,on_hit.caster,on_hit.target,tags,tags,special_lens,cast_effect.stitching_effect,cast_effect.effect,cast_effect.unflipped_over,cast_effect.create_in_center,cast_effect.forever,cast_effect.stitching_effect,cast_effect.effect,cast_effect.unflipped_over,cast_effect.create_in_center,cast_effect.forever,cast_effect_down.stitching_effect,cast_effect_down.effect,cast_effect_down.unflipped_over,cast_effect_down.create_in_center,cast_effect_down.forever,cast_effect_down.stitching_effect,cast_effect_down.effect,cast_effect_down.unflipped_over,cast_effect_down.create_in_center,cast_effect_down.forever,cast_effect_down.stitching_effect,cast_effect_down.effect,cast_effect_down.unflipped_over,cast_effect_down.create_in_center,cast_effect_down.forever,cast_effect_ctr.stitching_effect,cast_effect_ctr.effect,cast_effect_ctr.unflipped_over,cast_effect_ctr.create_in_center,cast_effect_ctr.forever,cast_attack_effect.stitching_effect,cast_attack_effect.effect,cast_attack_effect.unflipped_over,cast_attack_effect.create_in_center,cast_attack_effect.forever,target_effect.stitching_effect,target_effect.effect,target_effect.unflipped_over,target_effect.create_in_center,target_effect.forever,target_effect_down.stitching_effect,target_effect_down.effect,target_effect_down.unflipped_over,target_effect_down.create_in_center,target_effect_down.forever,target_effect_down.stitching_effect,target_effect_down.effect,target_effect_down.unflipped_over,target_effect_down.create_in_center,target_effect_down.forever,target_effect_down.stitching_effect,target_effect_down.effect,target_effect_down.unflipped_over,target_effect_down.create_in_center,target_effect_down.forever,target_effect_down.stitching_effect,target_effect_down.effect,target_effect_down.unflipped_over,target_effect_down.create_in_center,target_effect_down.forever,target_effect_down.stitching_effect,target_effect_down.effect,target_effect_down.unflipped_over,target_effect_down.create_in_center,target_effect_down.forever,target_effect_ctr.stitching_effect,target_effect_ctr.effect,target_effect_ctr.unflipped_over,target_effect_ctr.create_in_center,target_effect_ctr.forever,cast_anim,special_sound,name_sound,attack_sound,hit_sound,value,factor,level,levelup_skill,levelup_conditions.conditions.type,levelup_conditions.conditions.arg,levelup_conditions.conditions.arg,unlock_conditions.conditions.type,unlock_conditions.conditions.arg,unite_skill.dps,unite_skill.tank,unite_skill.assist,desc,zhanli
99999,普攻,,,,,,,,,,,,,,PHYSICAL,ENEMY,SINGLE,ALIVE,,,,,,,,,HIDEN,2,sprites/skill/jineng_shenghunzhou,1,0,,,,,,,,,,,,,,1,SKILL_CASTER,SKILL_TARGET,,,,,,,,,,DAMAGE,ATTACK,,,newskills/effect_0014u,,,,,,,,,,,,,,,,,,,,,,,,,newskills/pre_camera_c0123u,,,,,newskills/effect_0126u,,,,,newskills/effect_hit_0034u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack,,,,soundeffects/wulipugong_sk,0,1000,1,,,,,,,,,,{normal-color}造成100%的攻击力的{red-color}物理伤害{normal-color},
50105,倍道兼行,1,,,,,,,,,,,,,PHYSICAL,ENEMY,FRONT_SINGLE,ALIVE,,,,,,,,,,2,sprites/skill/beidaojianxing,1,0,0,,,,,,,,,,,,,1,SKILL_CASTER,SKILL_TARGET,,,,,,,,,,DAMAGE,ATTACK,,,newskills/effect_0014u,,,,,,,,,,,,,,,,,,,,,,,,,newskills/pre_camera_c0123u,,,,,newskills/effect_0126u,,,,,newskills/effect_hit_0034u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack,,,,soundeffects/wulipugong_sk,0,900,1,50101,,,,,,,,,{normal-color}攻击对方前方单体目标，造成{green-color}90%{normal-color}的{red-color}物理伤害{normal-color},
50101,倍道兼行,1,,,,,,,,,,,,,PHYSICAL,ENEMY,FRONT_SINGLE,ALIVE,,,,,,,,,,2,sprites/skill/beidaojianxing,1,0,0,,,,,,,,,,,,,1,SKILL_CASTER,SKILL_TARGET,5010101,SKILL_CASTER,SKILL_CASTER,,,,,,,DAMAGE,ATTACK,,,newskills/effect_0014u,,,,,,,,,,,,,,,,,,,,,,,,,newskills/pre_camera_c0123u,,,,,newskills/effect_0126u,,,,,newskills/effect_hit_0034u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack,,,,soundeffects/wulipugong_sk,0,900,2,,,,,,,,,,{normal-color}攻击前排目标，造成{green-color}90%{normal-color}的{red-color}物理伤害{normal-color}，并且使下一回合伤害提高{green-color}10%{normal-color},
50106,歌沉玉树,1,,,,,,,,,,,,,MAGICAL,ENEMY,FRONT_SINGLE,ALIVE,,,,,,,,,,2,sprites/skill/gechenyushu,1,0,0,,,,,,,,,,,,,1,SKILL_CASTER,SKILL_TARGET,,,,,,,,,,DAMAGE,DEFENCE,,,newskills/effect_0014u,,,,,,,,,,,,,,,,,,,,,,,,,newskills/pre_camera_c0123u,,,,,newskills/effect_0126u,,,,,newskills/effect_hit_0034u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack,,,,soundeffects/wulipugong_sk,0,900,1,50102,,,,,,,,,{normal-color}攻击对方前方单体目标，造成{green-color}90%{normal-color}{purple-color}法术伤害{normal-color},
50102,歌沉玉树,1,,,,,,,,,,,,,MAGICAL,ENEMY,FRONT_SINGLE,ALIVE,,,,,,,,,,2,sprites/skill/gechenyushu,1,0,0,,,,,,,,,,,,,1,SKILL_CASTER,SKILL_TARGET,5010201,SKILL_CASTER,SKILL_CASTER,,,,,,,DAMAGE,DEFENCE,,,newskills/effect_0014u,,,,,,,,,,,,,,,,,,,,,,,,,newskills/pre_camera_c0123u,,,,,newskills/effect_0126u,,,,,newskills/effect_hit_0034u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack,,,,soundeffects/wulipugong_sk,0,900,2,,,,,,,,,,{normal-color}攻击对方前方单体目标，造成{green-color}90%{normal-color}{purple-color}法术伤害{normal-color}，并且使自己受到的伤害降低{green-color}10%{normal-color}，持续到下次行动,
50111,妙手仁心,1,,,,,,,,,,,,,MAGICAL,ENEMY,FRONT_SINGLE,ALIVE,,,,,,,,,,2,sprites/skill/lunonghuashou,1,0,0,,,,,,,,,,,,,1,SKILL_CASTER,SKILL_TARGET,,,,,,,,,,DAMAGE,ASSIST,,,newskills/effect_0014u,,,,,,,,,,,,,,,,,,,,,,,,,newskills/pre_camera_c0123u,,,,,newskills/effect_0126u,,,,,newskills/effect_hit_0192u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack,,,,soundeffects/lichangyue1_sk,0,900,1,50104,,,,,,,,,{normal-color}攻击前排目标，造成{green-color}90%{normal-color}的{purple-color}法术伤害{normal-color},
50104,妙手仁心,1,,,,,,,,,,,,,MAGICAL,ENEMY,FRONT_SINGLE,ALIVE,,,,,,,,,,2,sprites/skill/lunonghuashou,1,0,0,,,,,,,,,,,,,1,SKILL_CASTER,SKILL_TARGET,5010401,SKILL_CASTER,SKILL_TARGET,,,,,,,DAMAGE,ASSIST,,,newskills/effect_0014u,,,,,,,,,,,,,,,,,,,,,,,,,newskills/pre_camera_c0123u,,,,,newskills/effect_0126u,,,,,newskills/effect_hit_0192u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attack,,,,soundeffects/lichangyue1_sk,0,900,2,,,,,,,,,,{normal-color}攻击前排目标，造成{green-color}90%{normal-color}的{purple-color}法术伤害{normal-color}，{green-color}20%{normal-color}几率清除目标一个增益效果,
50302,夜来风雨,2,1,150,1,200,1,300,1,350,,,,,MAGICAL,ENEMY,CROSS,ALIVE,,,,,,,,,,2,sprites/skill/yelaifengyu,1,3,3,,,,,,,,,,,,,1,SKILL_CASTER,SKILL_TARGET,,,,,,,,,,DAMAGE,ATTACK,,,newskills/effect_0143u,,,,,,,,,,,,,,,,,,,,,,,,,newskills/pre_camera_0143u,,,,,,,,,,newskills/effect_hit_0230u,,,,True,newskills/effect_hit_0210u,,True,,,newskills/effect_hit_0210d,,True,,,,,,,,,,,,,,,,,,newskills/effect_camera_0230u,,,,attack,,,,soundeffects/yelaifengyu_sk,0,1140,1,50306,,,,,,,,,{normal-color}十字范围攻击，造成{green-color}114%{normal-color}的{purple-color}法术伤害{normal-color},
50306,夜来风雨,2,1,150,1,200,1,300,1,350,,,,,MAGICAL,ENEMY,CROSS,ALIVE,,,,,,,,,,2,sprites/skill/yelaifengyu,1,3,3,,,,,,,,,,,,,1,SKILL_CASTER,SKILL_TARGET,5030601,SKILL_CASTER,SKILL_TARGET,,,,,,,DAMAGE,ATTACK,,,newskills/effect_0143u,,,,,,,,,,,,,,,,,,,,,,,,,newskills/pre_camera_0143u,,,,,,,,,,newskills/effect_hit_0230u,,,,True,newskills/effect_hit_0210u,,True,,,newskills/effect_hit_0210d,,True,,,,,,,,,,,,,,,,,,newskills/effect_camera_0230u,,,,attack,,,,soundeffects/yelaifengyu_sk,0,1140,2,503061,,,,,,,,,{normal-color}十字范围攻击，造成{green-color}114%{normal-color}的{purple-color}法术伤害{normal-color}，并且使对方的双防降低{green-color}5%{normal-color}，持续两回合,
503061,夜来风雨,2,1,150,1,200,1,300,1,350,,,,,MAGICAL,ENEMY,CROSS,ALIVE,,,,,,,,,,2,sprites/skill/yelaifengyu,1,2,0,,,,,,,,,,,,,1,SKILL_CASTER,SKILL_TARGET,50306011,SKILL_CASTER,SKILL_TARGET,,,,,,,DAMAGE,ATTACK,,,newskills/effect_0143u,,,,,,,,,,,,,,,,,,,,,,,,,newskills/pre_camera_0143u,,,,,,,,,,newskills/effect_hit_0230u,,,,True,newskills/effect_hit_0210u,,True,,,newskills/effect_hit_0210d,,True,,,,,,,,,,,,,,,,,,newskills/effect_camera_0230u,,,,attack,,,,soundeffects/yelaifengyu_sk,0,1140,3,,,,,,,,,,{normal-color}十字范围攻击，造成{green-color}114%{normal-color}的{purple-color}法术伤害{normal-color}，并且使对方的双防降低{green-color}5%{normal-color}，持续两回合,
