id,cut_in_line,times,content,position,position
1,False,1,玩家%{NAME}万夫莫当，成功达到竞技场第%{RANK}名！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
2,True,1,玩家%{NAME}众望所归，成功保住竞技场第一名的宝座！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
3,True,1,开始，请各参战公会做好准备！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
4,True,1,产业守卫战将于5分钟后开始，请各参战公会做好准备！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
5,True,1,产业守卫战将于4分钟后开始，请各参战公会做好准备！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
6,True,1,产业守卫战将于3分钟后开始，请各参战公会做好准备！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
7,True,1,产业守卫战将于2分钟后开始，请各参战公会做好准备！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
8,True,5,产业守卫战将于1分钟后开始，请各参战公会做好准备！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
9,False,1,%{NAME}在诗会结识了绝等伙伴%{ACTOR}，气运之旺真是羡煞众人！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
10,True,2,玩家%{NAME}与玩家%{NAME1}喜结连理，从此结为夫妻，携手相伴！,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
11,True,1,世界boss还有5分钟到来,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
12,True,1,世界boss还有4分钟到来,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
13,True,1,世界boss还有3分钟到来,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
14,True,1,世界boss还有2分钟到来,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
15,True,1,世界boss还有1分钟到来,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
16,True,3,重要的运营公告,MP_CENTRE_DOWN,MP_SYSTEM_CHAT
17,False,1,%{NAME}玩家在正在攻打%{GUANKA}关卡！申请加入,,MP_SYSTEM_CHAT
