level,name,actor,content
15,花魂,104,复仇，可不只是简简单单的两个字，除了人脉，您还需要绝对的力量，而花魂，就是您可以依赖的力量。通过佩戴花魂，您可以获得大幅的属性加成，而且凑齐指定花魂，还可以激活额外的被动技能。而这些，将会成为您复仇的力量所在。
18,每日任务\扫荡,217,殿下，我明白您现在想为北凉报仇的心情。但您现在需要熟悉自己手中的力量并掌握它。副本扫荡，能够让您尽快的熟悉自己所拥有的能力。每日任务，能够让您尽快的掌握自己的势力。\n殿下，只有您强大到无人可挡的时候，复仇不在话下。我知道这条路充满荆棘，但君桃会一直陪着您的！
20,府邸主厅,218,李府固然好，但您不想拥有一个只属于自己的家呢？在这里，您可以通过情缘签欣赏伙伴之间的温馨趣事；在这里，您可以自由的布局家具，打造只属于自己的房间。\n而且，拥有主厅后，您还可以大宴宾客或者参加好友的宴会哦。
23,伙伴诰封,202,在这个世界里，官品象征着绝对的权威。因此，追求位极人臣，除了您自己，您的伙伴也是需要的。使用道具和诰命给伙伴诰封，可以解锁或者强化伙伴的技能，将大幅提升伙伴的实力。
25,府邸池塘,218,随着工匠们热火朝天的施工，您府邸的池塘也已经完工了哦。在池塘，您可以自己悠闲的钓上一尾春鲤，也可以喊上您的亲朋好友来一起垂钓哦。而且，您还可以派遣您的伙伴，在池边钓上一整天的鱼。当然，在池塘，您也是可以自由布局的，打造出唯美独特的池边风景吧。
27,家族,102,俗话说的好，双拳难敌四手，想在宫廷中争得一席地位，单打独斗可不行。\n在家族中，你除了领取每天伙伴们给你赠送的大红包，还能互相帮助完成悬赏任务获得大量奖励，甚至可以一起挑战你平时想都不敢想的困难试炼。\n除了可以和自己的伙伴一起合作，更可以同仇敌忾，一起对付你的仇人。
28,府邸菜地\厨房,218,主子，在菜地，您可以体验务农的闲情逸致，种上自己喜欢的乡间植物。而且，您收获的蔬菜可以在您的小厨房里自己烹饪哦！\n您还可以派遣您的伙伴在厨房、菜地里工作，还可以按照您的喜好在厨房、菜地布局哦！
30,比武,110,在比武中，我们可以和其他的玩家一较高下。比武场高手云集，胜败乃是兵家常事，但只要参与比武，每天都能拿到非常丰厚的奖励。当排名到达一定的名次时，还能拿到相应的排名突破奖励，排名越高，奖励越多！
31,锦绣台,212,锦绣台采用赛季模式。每个赛季分为海选阶段和决赛阶段。\n小姐少爷们可以在海选阶段精心准备服饰，参加评选。并且可以亲自作为评审，为心仪之人投票。\n每个赛季拥有一个赛季主题，我们需要根据主题搭配不同的服装。
32,结缘,512,乖孙啊，这平城是我大魏都城，上下倒是有不少王宫贵胄。\n你回到平城也有一阵时日了，若是相中哪家的少爷小姐结为情缘倒也不失为一段佳话。\n祖奶奶也已经在陛下面前帮你求个大大的恩赐，若是乖孙找到心仪之人，便可开启心有灵犀、鸾凤和鸣以及红鸾星魂呢。
33,学识养成,507,知识就是力量，这是一句亘古名言。无论是您，还是您的伙伴，都不能停下读书的脚步哦。通过研读各类书籍，可以大幅提升您和伙伴的属性。
35,花冢,226,复仇，可不只是简简单单的两个字。花冢，就是一个可以帮助您获得力量的地方。在这里，您可以获得各式花魂，佩戴她们，您除了能获得大幅的属性加成，还可以额外获得被动技能，而这些，将会成为您复仇的关键所在。\n挑战花冢，达成奖励玩法条件，您将获得大量花魂及相关道具。而且，您还可以和您的好友组队挑战花冢；组队将获得大幅奖励加成。
40,伙伴重生,104,一切有为法，如梦幻泡影；如露亦如电，应作如是观。南柯一梦，庄周梦蝶，人生，到头来，又何尝不是一场虚幻呢。使用重生道具，可以重置您的伙伴养成属性，并且返还其养成消耗的道具。
45,封地,218,恭喜少爷小姐们拥有自己的封地啦！您要开始试着自己管理政务了，您的各种决策决定了封地百姓生活的好坏哦！\n当然了，你管理的越好，百姓们就会拿出更多自己生产的物品赠送给您！\n不过，您既然管理着一大片封地，自然也会受到来自外面的挑战，打败他们，守护您的子民吧！
50,列传,226,在列传中，小姐少爷们能够通过剧情，了解到名人们所在家族的恩怨纠葛，名人们的身世由来等等。\n列传战斗关卡的挑战对手与普通副本不同，他们都拥有自身独特的技能。在挑战前，小姐和少爷们需要做足功课，才能对其逐一击破。
60,密室,104,经历如此多的风雨，是否需要一处安眠之所呢？这处陌生的密室虽然看上去平平无奇，其中却弥漫着诡异的香气。这里充斥着无数过往的梦境，要小心梦境中出现的人，他们身上隐藏着解开密室的关键。\n梦境将会随着你的经历不断增加，跨越梦境，你才能够变得真正的无惧无畏。
