id,icon,name,desc,male,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid
1000,ui/hzicon/yichu/yifunv_jinxiu,锦绣,锦绣,False,HP_TOUFA,100000,HP_YIFU,110000,,,,,,,,,,,,,,,,
1001,ui/hzicon/yichu/yifunv_weiyang,未央,未央,False,HP_TOUFA,100001,HP_YIFU,110001,,,HP_SHOUCHI,140001,,,,,,,,,,,,
1002,ui/hzicon/yichu/yifunv_baijiang,白江,白江,False,HP_TOUFA,100002,HP_YIFU,110002,,,,,,,,,,,,,,,,
1003,ui/hzicon/yichu/yifunv_huamei,画眉,画眉,False,HP_TOUFA,100003,HP_YIFU,110003,,,HP_SHOUCHI,140003,,,,,,,,,,,,
1004,ui/hzicon/yichu/yifunv_qiongyao,琼瑶,琼瑶,False,HP_TOUFA,100004,HP_YIFU,110004,,,HP_SHOUCHI,140004,,,,,,,,,,,,
1005,ui/hzicon/yichu/yifunv_yemao,夜猫,夜猫,False,HP_TOUFA,100005,HP_YIFU,110005,HP_BEISHI,120005,,,HP_GUANSHI,101005,,,,,,,,,,
1006,ui/hzicon/yichu/yifunv_huancai,幻彩,幻彩,False,HP_TOUFA,100006,HP_YIFU,110006,,,,,HP_TOUJIN,101006,,,,,,,,,,
1007,ui/hzicon/yichu/yifunv_mousi,谋思,谋思,False,HP_TOUFA,100007,HP_YIFU,110007,,,,,HP_TOUJIN,101007,,,,,,,,,,
1008,ui/hzicon/yichu/yifunv_qingyu,清雨,清雨,False,HP_TOUFA,100008,HP_YIFU,110008,,,,,,,,,,,,,,,,
1009,ui/hzicon/yichu/yifunv_mizong,秘踪,秘踪,False,HP_TOUFA,100009,HP_YIFU,110009,HP_BEISHI,120009,HP_SHOUCHI,140009,,,,,,,,,,,,
1010,ui/hzicon/yichu/yifunv_qingtian,青天,青天,False,HP_TOUFA,100010,HP_YIFU,110010,,,HP_SHOUCHI,140010,,,,,,,,,,,,
1011,ui/hzicon/yichu/yifunv_moran,墨染,墨染,False,HP_TOUFA,100011,HP_YIFU,110011,HP_BEISHI,120011,HP_SHOUCHI,140011,HP_GUANSHI,101011,,,,,,,,,,
1012,ui/hzicon/yichu/yifunv_xialu,侠路,侠路,False,HP_TOUFA,100012,HP_YIFU,110012,,,HP_SHOUCHI,140012,,,,,,,,,,,,
1013,ui/hzicon/yichu/yifunv_taohua,桃花,桃花,False,HP_TOUFA,100013,HP_YIFU,110013,,,HP_SHOUCHI,140013,HP_TOUJIN,101013,,,,,,,,,,
1014,ui/hzicon/yichu/yifunv_fanxing,繁星,繁星,False,HP_TOUFA,100014,HP_YIFU,110014,,,,,HP_GUANSHI,101014,,,,,,,,,,
1015,ui/hzicon/yichu/yifunv_huahuo,花火,花火,False,HP_TOUFA,100015,HP_YIFU,110015,,,,,,,,,,,,,,,,
