id,icon,name,male,arg,arg,need.part,need.pttid,repell
109001,ui/nielian/tiehuanv_1,淑醒,False,face_shiwu1,face_shiwu1/0,,,
109002,ui/nielian/tiehuanv_2,水莲,False,face_shiwu2,face_shiwu2/0,,,
109003,ui/nielian/tiehuanv_3,徘徊,False,face_shiwu3,face_shiwu3/0,,,
109004,ui/nielian/tiehuanv_4,惜君,False,face_shiwu4,face_shiwu4/0,,,
109005,ui/nielian/tiehuanv_5,莫愁,False,face_shiwu2,face_shiwu5/0,,,
109006,ui/nielian/tiehuanv_6,纤尘,False,face_shiwu2,face_shiwu6/0,,,
109007,ui/nielian/tiehuanv_7,梦断,False,face_shiwu2,face_shiwu7/0,,,
109008,ui/nielian/tiehuanv_8,幸运,False,face_shiwu2,face_shiwu8/0,,,
109009,ui/nielian/tiehuanv_9,寸心,False,face_shiwu2,face_shiwu9/0,,,
109010,ui/nielian/tiehuanv_10,女将,False,face_shiwu2,face_shiwu10/0,,,
109011,ui/nielian/tiehuanv_11,莞尔,False,face_shiwu2,face_shiwu11/0,,,
109012,ui/nielian/tiehuanv_12,年年,False,face_shiwu1,face_shiwu12/0,,,
109013,ui/nielian/tiehuanv_13,弄蝶,False,face_shiwu3,face_shiwu13/0,,,
109014,ui/nielian/tiehuanv_14,面红,False,face_shiwu2,face_shiwu14/0,,,
109015,ui/nielian/tiehuanv_15,铭刻,False,face_shiwu4,face_shiwu15/0,,,
109016,ui/nielian/tiehuanv_16,斑烛,False,face_shiwu1,face_shiwu16/0,,,
109017,ui/nielian/tiehuanv_17,九州,False,face_shiwu3,face_shiwu16/1,,,
109018,ui/nielian/tiehuanv_18,晚潮,False,face_shiwu2,face_shiwu17/0,,,
109019,ui/nielian/tiehuanv_19,皎皎,False,face_shiwu1,face_shiwu18/0,,,
109020,ui/nielian/tiehuanv_20,迢迢,False,face_shiwu3,face_shiwu19/0,,,
209001,ui/nielian/tiehuanan_1,十载,True,face_shiwu1,face_shiwu1/0,,,
209002,ui/nielian/tiehuanan_2,鸿鹄,True,face_shiwu1,face_shiwu2/0,,,
209003,ui/nielian/tiehuanan_3,醉生,True,face_shiwu1,face_shiwu5/0,,,
209004,ui/nielian/tiehuanan_4,彼年,True,face_shiwu1,face_shiwu6/0,,,
209005,ui/nielian/tiehuanan_5,荼靡,True,face_shiwu1,face_shiwu7/0,,,
209006,ui/nielian/tiehuanan_6,幻殇,True,face_shiwu3,face_shiwu3/0,,,
209007,ui/nielian/tiehuanan_7,沐宇,True,face_shiwu3,face_shiwu4/0,,,
