id,icon,name,desc,male,files,files,repell,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,quality,pos.x,pos.y,bone,idle_anim,fix_attr.decos.decos.type,fix_attr.decos.decos.change_value,fix_attr.decos.decos.change_percent,fix_attr.decos.decos.type,fix_attr.decos.decos.change_value,fix_attr.decos.decos.change_percent,fix_attr.levelup_growth,levelup_pttid,origins
101006,ui/hzicon/yichu/toushinv_huazhiming,花之茗,花前月下，为君斟一杯热酒。,False,NULL,spines/zhujue/huanzhuangNv/huazhimingnv_fajin2,,HZ_CHENGSHU,184,,HZ_FENGLIUWUMEI,142,,HZ_JIANYUE,123,,HZ_SHIWEN,150,,FG_SHENGDIAN,400,,FG_GUANCHANG,300,,3,,,,,ATTACK,79,,MAGICAL_DEFENCE,39,,20023,1,100
101007,ui/hzicon/yichu/toushinv_mousi,谋思,读书破万卷，下笔如有神。,False,NULL,spines/zhujue/huanzhuangNv/mousinv_fajin2,,HZ_RUYADUANZHUANG,250,,HZ_CHENGSHU,193,,HZ_CAIZIJIAREN,187,,HZ_SHIWEN,210,,FG_SHUMO,400,,FG_HUAYU,300,,4,,,,,ATTACK,288,,MAGICAL_DEFENCE,144,,20026,1,400
101013,ui/hzicon/yichu/toushinv_taohua,桃花,小花白碧桃，大花红碧桃，拨开三两枝，与君共园游。,False,NULL,spines/zhujue/huanzhuangNv/taohuanv_fajin2,,HZ_JIANYUE,242,,HZ_RUYADUANZHUANG,208,,HZ_QINGCHUN,181,,HZ_SHIWEN,210,,FG_YUANYOU,400,,FG_HUAYU,300,,4,,,,,ATTACK,276,,MAGICAL_DEFENCE,138,,20045,1,400
101015,ui/hzicon/yichu/toushinv_huahuo,花火,花火的光芒照亮了整个夜空，好美……,False,spines/zhujue/huanzhuangNv/huahuonv_fajin1,spines/zhujue/huanzhuangNv/huahuonv_fajin2,,HZ_YONGMENGYINGZI,172,,HZ_FANHUA,148,,HZ_FENGLIUWUMEI,129,,HZ_SHIWEN,150,,FG_ZHENGZHAN,400,,FG_GUANCHANG,300,,3,,,,,ATTACK,77,,MAGICAL_DEFENCE,38,,20053,1,30002
101017,ui/hzicon/yichu/toushinv_huancai,幻彩,若能穿上这身七色霓裳，成为那万众瞩目的对象，又有什么难。,False,NULL,spines/zhujue/huanzhuangNv/huancainv_fajin2,,HZ_RUYADUANZHUANG,165,,HZ_FANHUA,148,,HZ_QINGCHUN,136,,HZ_SHIWEN,150,,FG_GUANCHANG,400,,FG_HUAYU,300,,3,,,,,ATTACK,77,,MAGICAL_DEFENCE,38,,20060,1,100
1010061,ui/hzicon/yichu/toushinv_huazhiming_1,庭雨,花前月下，为君斟一杯热酒。,False,NULL,spines/zhujue/huanzhuangNv/huazhimingnv_1_fajin2,,HZ_CHENGSHU,170,,HZ_FANHUA,142,,HZ_FENGLIUWUMEI,138,,HZ_SHIWEN,150,,FG_SHENGDIAN,400,,FG_WUYI,300,,3,,,,,ATTACK,77,,MAGICAL_DEFENCE,38,,20153,1,
1010071,ui/hzicon/yichu/toushinv_mousi_1,安暖,读书破万卷，下笔如有神。,False,NULL,spines/zhujue/huanzhuangNv/mousinv_1_fajin2,,HZ_CHENGSHU,262,,HZ_RUYADUANZHUANG,197,,HZ_FANHUA,170,,HZ_SHIWEN,210,,FG_YUANYOU,400,,FG_HUAYU,300,,4,,,,,ATTACK,230,,MAGICAL_DEFENCE,115,,20156,1,
1010131,ui/hzicon/yichu/toushinv_taohua_1,笙歌,小花白碧桃，大花红碧桃，拨开三两枝，与君共园游。,False,NULL,spines/zhujue/huanzhuangNv/taohuanv_1_fajin2,,HZ_RUYADUANZHUANG,197,,HZ_FANHUA,191,,HZ_HUOPO,147,,HZ_BAONUAN,210,,FG_JIANGHU,400,,FG_HUAYU,300,,4,,,,,ATTACK,230,,MAGICAL_DEFENCE,115,,20164,1,
1010171,ui/hzicon/yichu/toushinv_huancai_1,静香,若能穿上这身七色霓裳，成为那万众瞩目的对象，又有什么难。,False,NULL,spines/zhujue/huanzhuangNv/huancainv_1_fajin2,,HZ_QINGCHUN,186,,HZ_HUOPO,150,,HZ_RUYADUANZHUANG,114,,HZ_SHIWEN,150,,FG_ZOUYUE,500,,,,,3,,,,,ATTACK,77,,MAGICAL_DEFENCE,38,,20173,1,
201007,ui/hzicon/yichu/toushinan_mousi,谋思,读书破万卷，下笔如有神。,True,NULL,spines/zhujue/huanzhuangNan/mousinan_fajin2,,HZ_RUYADUANZHUANG,250,,HZ_CHENGSHU,193,,HZ_CAIZIJIAREN,187,,HZ_SHIWEN,210,,FG_SHUMO,400,,FG_HUAYU,300,,4,,,,,ATTACK,288,,MAGICAL_DEFENCE,144,,20236,1,400
2010071,ui/hzicon/yichu/toushinan_mousi_1,安暖,读书破万卷，下笔如有神。,True,NULL,spines/zhujue/huanzhuangNan/mousinan_1_fajin2,,HZ_CHENGSHU,262,,HZ_RUYADUANZHUANG,197,,HZ_FANHUA,170,,HZ_SHIWEN,210,,FG_YUANYOU,400,,FG_HUAYU,300,,4,,,,,ATTACK,230,,MAGICAL_DEFENCE,115,,20366,1,
