level,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,battle_pttid,win_events.events.type,win_events.events.arg,win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,recommend_actors,actor,dialog,level_desc
1,,,,20001,ADD_RESOURCE,ACTOR_EXP,500,DROP,50000,1,ADD_RESOURCE,DIAMOND,10,,,,,,,,454,别站在这里妨碍我们的公事！,十回合内击杀怪物
2,,,,20002,ADD_RESOURCE,ACTOR_EXP,500,DROP,50000,1,ADD_RESOURCE,DIAMOND,10,,,,,,,,406,哪里来的乡下庶出，也敢与我叫阵？,十回合内击杀怪物
3,,,,20003,ADD_RESOURCE,ACTOR_EXP,500,DROP,50000,1,ADD_RESOURCE,DIAMOND,10,,,,,,,,206, 哼，这里可没有你说话的份儿！,十回合内击杀怪物
4,,,,20004,ADD_RESOURCE,ACTOR_EXP,500,DROP,50000,1,ADD_RESOURCE,DIAMOND,10,,,,,,,,209,为何夺我酒樽？快将美酒还回来！,十回合内击杀怪物
5,,,,20005,ADD_RESOURCE,ACTOR_EXP,500,DROP,50000,1,ADD_RESOURCE,DIAMOND,10,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,9,1,,206,就你这样的人，也敢跟我谈教养？,十回合内击杀怪物
6,,,,20006,ADD_RESOURCE,ACTOR_EXP,500,DROP,50000,1,ADD_RESOURCE,DIAMOND,10,,,,,,,,404, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
7,,,,20007,ADD_RESOURCE,ACTOR_EXP,500,DROP,50000,1,ADD_RESOURCE,DIAMOND,10,,,,,,,,415,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
8,,,,20008,ADD_RESOURCE,ACTOR_EXP,500,DROP,50000,1,ADD_RESOURCE,DIAMOND,10,,,,,,,,210,何方宵小？吃我一招！,十回合内击杀怪物
9,,,,20009,ADD_RESOURCE,ACTOR_EXP,500,DROP,50000,1,ADD_RESOURCE,DIAMOND,10,,,,,,,,211, 真是家门不幸啊，家门不幸……,十回合内击杀怪物
10,,,,20010,ADD_RESOURCE,ACTOR_EXP,500,DROP,50000,1,ADD_RESOURCE,DIAMOND,10,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,19,1,,210,父亲怎么会将你这个贱种接回府里？,十回合内击杀怪物
11,,,,20011,ADD_RESOURCE,ACTOR_EXP,1000,DROP,50000,1,ADD_RESOURCE,DIAMOND,20,,,,,,,,109,我……好像没有见过你呢。,十回合内击杀怪物
12,,,,20012,ADD_RESOURCE,ACTOR_EXP,1000,DROP,50000,1,ADD_RESOURCE,DIAMOND,20,,,,,,,,219,你就是我的主子？,十回合内击杀怪物
13,,,,20013,ADD_RESOURCE,ACTOR_EXP,1000,DROP,50000,1,ADD_RESOURCE,DIAMOND,20,,,,,,,,223,抱歉，我只忠心于大魏和高阳王。,十回合内击杀怪物
14,,,,20014,ADD_RESOURCE,ACTOR_EXP,1000,DROP,50000,1,ADD_RESOURCE,DIAMOND,20,,,,,,,,109,伯父不让我跟陌生人说话。,十回合内击杀怪物
15,,,,20015,ADD_RESOURCE,ACTOR_EXP,1000,DROP,50000,1,ADD_RESOURCE,DIAMOND,20,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,21,1,,223,抱歉，我只忠心与大魏和高阳王。,孤影刺客形影诡谲，擅长一招制敌，利用高抗暴的伙伴，有效抵御来自孤影刺客的暴击伤害。
16,,,,20016,ADD_RESOURCE,ACTOR_EXP,1000,DROP,50000,1,ADD_RESOURCE,DIAMOND,20,,,,,,,,454,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
17,,,,20017,ADD_RESOURCE,ACTOR_EXP,1000,DROP,50000,1,ADD_RESOURCE,DIAMOND,20,,,,,,,,209,何方宵小？吃我一招！,十回合内击杀怪物
18,,,,20018,ADD_RESOURCE,ACTOR_EXP,1000,DROP,50000,1,ADD_RESOURCE,DIAMOND,20,,,,,,,,212, 哟~这里也是你能来的地方,十回合内击杀怪物
19,,,,20019,ADD_RESOURCE,ACTOR_EXP,1000,DROP,50000,1,ADD_RESOURCE,DIAMOND,20,,,,,,,,209,哪里来的乡下庶出，也敢与我叫阵？,十回合内击杀怪物
20,,,,20020,ADD_RESOURCE,ACTOR_EXP,1000,DROP,50000,1,ADD_RESOURCE,DIAMOND,20,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,89,1,,209,你也是来耻笑我这个叱云家的弃子吗？,刀刃饮血，金刚不坏，拥有极高的血量，可使用伤害高的伙伴来战胜他。
21,,,,20021,ADD_RESOURCE,ACTOR_EXP,1500,DROP,50000,1,ADD_RESOURCE,DIAMOND,30,,,,,,,,462, 快滚，这里可没有你说话的份儿！,十回合内击杀怪物
22,,,,20022,ADD_RESOURCE,ACTOR_EXP,1500,DROP,50000,1,ADD_RESOURCE,DIAMOND,30,,,,,,,,462,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
23,,,,20023,ADD_RESOURCE,ACTOR_EXP,1500,DROP,50000,1,ADD_RESOURCE,DIAMOND,30,,,,,,,,110,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
24,,,,20024,ADD_RESOURCE,ACTOR_EXP,1500,DROP,50000,1,ADD_RESOURCE,DIAMOND,30,,,,,,,,110, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
25,,,,20025,ADD_RESOURCE,ACTOR_EXP,1500,DROP,50000,1,ADD_RESOURCE,DIAMOND,30,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,90,1,,110,弱者就不要站在我面前，碍眼。,隐匿在黑暗中的黑衣人，拥有闪避攻击的高超能力，只有命中高的伙伴才有机会将其拿下。
26,,,,20026,ADD_RESOURCE,ACTOR_EXP,1500,DROP,50000,1,ADD_RESOURCE,DIAMOND,30,,,,,,,,480,何方宵小？吃我一招！,十回合内击杀怪物
27,,,,20027,ADD_RESOURCE,ACTOR_EXP,1500,DROP,50000,1,ADD_RESOURCE,DIAMOND,30,,,,,,,,457, 哟~这里也是你能来的地方,十回合内击杀怪物
28,,,,20028,ADD_RESOURCE,ACTOR_EXP,1500,DROP,50000,1,ADD_RESOURCE,DIAMOND,30,,,,,,,,457,哪里来的乡下庶出，也敢与我叫阵？,十回合内击杀怪物
29,,,,20029,ADD_RESOURCE,ACTOR_EXP,1500,DROP,50000,1,ADD_RESOURCE,DIAMOND,30,,,,,,,,457, 今天就让你见识见识名门的做派。,十回合内击杀怪物
