id,xinshou,xinshou,xinshou,xinshou,xinshou,xinshou,xinshou,save_xinshou,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,finish_conditions.conditions.type,finish_conditions.conditions.arg,finish_conditions.conditions.arg,finish_conditions.conditions.arg,resume_group
10,10,20,21,30,40,,,40,NOT_PASS_ADVENTURE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,49,50,51,80,90,100,,100,NOT_PASS_ADVENTURE,1,,,GENDER,FEMALE,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,1,,,100019
30,110,120,130,140,,,,140,PASS_ADVENTURE,1,,,NOT_PASS_ADVENTURE,2,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,2,,,100010
40,150,160,170,180,,,,180,PASS_ADVENTURE,1,,,NOT_PASS_ADVENTURE,2,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,2,,,
50,190,,,,,,,190,PASS_ADVENTURE,2,,,NOT_PASS_ADVENTURE,3,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,3,,,100011
60,200,201,,,,,,201,PASS_ADVENTURE,3,,,NOT_PASS_ADVENTURE,4,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,4,,,100012
61,202,,,,,,,202,PASS_ADVENTURE,3,,,NOT_PASS_ADVENTURE,4,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,4,,,
70,210,,,,,,,210,PASS_ADVENTURE,4,,,NOT_PASS_ADVENTURE,5,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,5,,,100013
80,211,220,,,,,,220,PASS_ADVENTURE,5,,,NOT_PASS_ADVENTURE,6,,,,,,,,,,,,,,,,,,,,,,,PASS_ADVENTURE,6,,,100014
90,230,250,,,,,,250,PASS_ADVENTURE,6,,,NOT_PASS_ADVENTURE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,100015
