id,ui,args,slide_args,slide_args,plot,plot,need_conditions.conditions.type,need_conditions.conditions.arg,need_conditions.conditions.arg,skip_click,touch_move,open_ui
10,,Fuben_frames,,,400010,400010,,,,,,
20,AdventureChapter,Fuben_chapterContent#touchNode#1,,,400020,400020,,,,,,
21,,Fuben_chapterDressupReward,,,400021,400021,,,,,,
30,,Fuben_chapterDressupList,,,400030,400030,,,,,,
40,,Fuben_chapterDressupEnter,,,400040,400040,,,,,,
49,,BTN#TOUFA,,,400049,400049,,,,,,
50,,HZ_GOOD#0,HZ_GOOD#0,Hz_Move_Target_Node,400050,400050,,,,,True,
51,,BTN#TOUFA,,,400051,400051,,,,,,
60,,BTN#TOUSHI,,,400060,400060,,,,,,
70,,HZ_GOOD#0,HZ_GOOD#0,Hz_Move_Target_Node,400070,400070,,,,,True,
71,,BTN#TOUSHI,,,400071,400071,,,,,,
80,,BTN#YIFU,,,400080,400080,,,,,,
90,,HZ_GOOD#0,HZ_GOOD#0,Hz_Move_Target_Node,400090,400090,,,,,True,
100,,HzPanelSave,,,400100,400100,,,,,,
110,AdventureChapter,Fuben_chapterContent#touchNode#2,,,400110,400110,,,,,,
120,,Fuben_chapterInfoDrop,,,400120,400120,,,,,,
130,,Fuben_chapterInfoEnemy,,,400130,400130,,,,,,
140,,Fuben_chapterInfoEnter,,,400140,400140,,,,,,
150,,RightGrids#1#2#1,,,400150,400150,,,,,,
160,,RightGrids#1#2#2,,,400160,400160,,,,,,
170,,Battle_SkillSlot#2#3,,,400170,400170,,,,,,
180,,RightGrids#2#2#3,,,400180,400180,,,,,,
190,AdventureChapter,Fuben_chapterContent#touchNode#3,,,400190,400190,,,,,,
200,AdventureChapter,Fuben_chapterContent#touchNode#4,,,400200,400200,,,,,,
201,,Fuben_chapterInfoEnter,,,400201,400201,,,,,,
202,,Battle_AutoButton,,,400202,400202,,,,,,
210,AdventureChapter,Fuben_chapterContent#touchNode#5,,,400210,400210,,,,,,
211,,Fuben_chapterBranch,,,400211,400211,,,,,,
220,AdventureChapter,Fuben_chapterContent#touchNode#6,,,400220,400220,,,,,,
230,AdventureChapter,Fuben_chapterContent#touchNode#7,,,400230,400230,,,,,,
250,,Fuben_chapterDressupEnter,,,400250,400250,,,,,,
259,,BTN#TOUFA,,,400259,400259,,,,,,
260,,HZ_GOOD#1,HZ_GOOD#1,Hz_Move_Target_Node,400260,400260,,,,,True,
261,,BTN#TOUFA,,,400261,400261,,,,,,
270,,BTN#YIFU,,,400270,400270,,,,,,
280,,HZ_GOOD#1,HZ_GOOD#1,Hz_Move_Target_Node,400280,400280,,,,,True,
281,,BTN#YIFU,,,400281,400281,,,,,,
290,,BTN#SHOUCHI,,,400290,400290,,,,,,
300,,HZ_GOOD#0,HZ_GOOD#0,Hz_Move_Target_Node,400300,400300,,,,,True,
309,,HzPanelAutoDress,,,400309,400309,,,,,,
310,,HzPanelSave,,,400310,400310,,,,,,
320,AdventureChapter,Fuben_chapterContent#touchNode#8,,,400320,400320,,,,,,
330,AdventureChapter,Fuben_chapterContent#touchNode#9,,,400330,400330,,,,,,
340,,Fuben_chapterInfoZhengrong,,,400340,400340,,,,,,
350,,Fuben_chapterInfoZhengrongEnter,,,400350,400350,,,,,,
360,,Icon#actor#219,Icon#actor#219,Formation_Grid#1#2,400360,400360,,,,,True,
370,,Icon#actor#218,Icon#actor#218,Formation_Grid#2#2,400370,400370,,,,,True,
380,,Formation_SaveButton,,,400380,400380,,,,,,
390,,Formation_ReturnButton,,,400390,400390,,,,,,
400,,Fuben_chapterInfoEnter,,,400400,400400,,,,,,
401,AdventureChapter,Fuben_chapterContent#touchNode#10,,,400401,400401,,,,,,
410,,Fuben_chapterReward#1,,,400410,400410,,,,,,
420,,Fuben_chapterReturn,,,400420,400420,,,,,,
430,,Fuben_episodeReturn,,,400430,400430,,,,,,
431,MainScene,Main_Information,,,400431,400431,,,,,,
432,,Information_changeTitle,,,400432,400432,,,,,,
433,,TITLE_ITEM#1,,,400433,400433,,,,,,
434,,TITLE_EQUIP,,,400434,400434,,,,,,
435,,TITLE_CLOSE,,,400435,400435,,,,,,
436,,Information_return,,,400436,400436,,,,,,
440,MainScene,UITask_GoButton,,,400440,400440,,,,,,
450,,mainTaskGet,,,400450,400450,,,,,,
470,,mainTaskGo,,,400470,400470,,,,,,
480,AdventureChapter,Fuben_chapterContent#touchNode#11,,,400480,400480,,,,,,
490,,zhaoMuMainNode,,,400490,400490,,,,,,
500,,zhaoMuLowBuyOne,,,400500,400500,,,,,,
510,,zhaoMuChuanglianNode,,,400510,400510,,,,,,
530,,zhaoMuBackNode,,,400530,400530,,,,,,
540,zhaomu,zhaoMuHighBuyOne,,,400540,400540,,,,,,
550,,zhaoMuChuanglianNode,,,400550,400550,,,,,,
560,,closeZhoamuRewardNode,,,400560,400560,,,,,,
570,,zhaoMuBackNode,,,400570,400570,,,,,,
580,zhaomu,zhaoMuHuaMingCeNode,,,400580,400580,,,,,,
590,,ActorAll_fanbtn,,,400590,400590,,,,,,
600,,ActorAll_list#223,,,400600,400600,,,,,,
620,,HuaMingCeCloseNode,,,400620,400620,,,,,,
621,MainScene,Main_zhenrong,,,499999,499999,,,,,,
622,,Icon#actor#223,Icon#actor#223,Formation_Grid#2#1,499998,499998,,,,,True,
623,,Formation_SaveButton,,,499999,499999,,,,,,
624,,Formation_ReturnButton,,,499999,499999,,,,,,
630,MainScene,ActorDevelop_enter,,,400630,400630,,,,,,
640,,ActorDevelop_nimingjiebtn,,,400640,400640,,,,,,
650,,ActorDevelop_nimingjieNode,,,400650,400650,,,,,,
660,,ActorDevelop_changelife,,,400660,400660,,,,,,
670,,ActorDevelop_changelife,,,400670,400670,,,,,,
680,,ActorDevelop_changelife,,,400680,400680,,,,,,
690,,Icon#ActorIndex#2,,,400690,400690,,,,,,
700,,ActorDevelop_uplevelbtn,,,400700,400700,,,,,,
710,,ActorDevelop_autoUplevelbtn,,,400710,400710,,,,,,
720,,ActorDevelop_rightbtn,,,400720,400720,,,,,,
730,,ActorDevelop_autoUplevelbtn,,,400730,400730,,,,,,
731,,ActorDevelop_rightbtn,,,499999,499999,,,,,,
732,,ActorDevelop_autoUplevelbtn,,,499999,499999,,,,,,
740,,ActorDevelop_return,,,400740,400740,,,,,,
750,MainScene,Jinsheng_EnterButton,,,400750,400750,,,,,,
760,,Guanpin_Examiner#1,,,400760,400760,,,,,,
770,,Guanpin_Baoming#1,,,400770,400770,,,,,,
780,,Guanpin_BaomingReturn,,,400780,400780,,,,,,
790,,Guanpin_JinshengReturn,,,400790,400790,,,,,,
800,MainScene,Chaotang_EnterButton,,,400800,400800,,,,,,
810,,Guanpin_ChallengeGpin#Self,,,400810,400810,,,,,,
820,,Guanpin_ChaotangPlayer#Self,,,400820,400820,,,,,,
821,,Guanpin_GetFenglu,,,400821,400821,,,,True,,
830,,Main_gongdou,,,400830,400830,,,,,,
840,,GongDou_type#0,,,400840,400840,,,,,,
841,,GongDou_stranger,,,400841,400841,,,,,,
843,MainScene,FeiGeEnter,,,400843,400843,,,,,,
844,,ActorAll_list#102,,,400844,400844,,,,,,
845,,FeiGeWriteNode,,,400845,400845,,,,,,
846,,FeiGeSelectNode,,,400846,400846,,,,True,,
850,MainScene,ActorDevelop_enter,,,400850,400850,,,,,,
860,,Icon#ActorIndex#2,,,400860,400860,,,,,,
870,,ActorDevelop_gaofengbtn,,,400870,400870,,,,,,
880,,ActorDevelop_gaofengneed,,,400880,400880,,,,,,
890,,ActorDevelop_gaofengyandu,,,400890,400890,,,,,,
900,MainScene,ActorDevelop_enter,,,400900,400900,,,,,,
910,,ActorDevelop_inequip,,,400910,400910,,,,,,
920,,ActorDevelop_equipsky,,,400920,400920,,,,,,
930,,Icon#Equip#2251,,,400930,400930,,,,,,
940,,ActorDevelop_equipputon,,,400940,400940,,,,,,
950,,ActorDevelop_equipland,,,400950,400950,,,,,,
960,,Icon#Equip#2252,,,400960,400960,,,,,,
970,,ActorDevelop_equipputon,,,400970,400970,,,,,,
980,,ActorDevelop_equipleft#1,,,400980,400980,,,,,,
981,MainScene,Gemstone_EnterButton,,,400981,400981,,,,,,
990,MainScene,Lieming_EnterButton,,,400990,400990,,,,,,
1000,,Lieming_Level#1,,,401000,401000,,,,,,
1010,,Lieming_SearchTeam,,,401020,401020,,,,True,,
1020,,Lieming_Huntinglife,,,401010,401010,,,,,,
1024,MainScene,Marriage_MainButton,,,401024,401024,,,,,,
1025,,Marriage_Touch,,,401025,401025,,,,,,
1026,,Marriage_Propose,,,401026,401026,,,,,,
1027,,Marriage_StarWish,,,401027,401027,,,,True,,
1028,,Marriage_Pk,,,401028,401028,,,,True,,
1029,,Marriage_Raiders,,,401029,401029,,,,True,,
1030,MainScene,Main_FudiButton,,,401030,401030,,,,,,
1040,,Fudi_mansionBanquet,,,401040,401040,,,,True,,
1050,,Fudi_mansionZhucheng,,,401050,401050,,,,,,
1060,,Fudi_mansionHallSign,,,401060,401060,,,,,,
1070,,Fudi_mansionBuildSignContent#1,,,401070,401070,,,,,,
1080,,ActorAll_list#1,,,401080,401080,,,,,,
1090,,ActorAll_list#1,,,401090,401090,,,,,,
1100,,Fudi_mansionBuildLoveSignPaiqian,,,401100,401100,,,,,,
1110,,Fudi_mansionHallSignResult,,,401110,401110,,,,,,
1120,BuildHall,Fudi_mansionBuildComposition,,,401120,401120,,,,,,
1130,,Fudi_mansionHallFurnLayerContent#NewSprite#8,,,401130,401130,,,,,,
1140,,Fudi_mansionFurnPlaceUse,,,401140,401140,,,,,,
1150,,Fudi_mansionHallReturn,,,401150,401150,,,,,,
1160,,BuildMansionNewLevel,,,401160,401160,,,,,,
1170,,Fudi_mansionFurnBuy,,,401170,401170,,,,,,
1180,,Fudi_mansionHallReturn,,,401180,401180,,,,,,
1190,,Fudi_mansionPond,,,401190,401190,,,,,,
1200,,Fudi_mansionPondDispatch,,,401200,401200,,,,True,,
1210,,Fudi_mansionPondFish,,,401210,401210,,,,True,,
1219,MainScene,Main_FudiButton,,,499999,499999,,,,,,
1220,,Fudi_mansionPondReturn,,,401220,401220,,,,,,
1221,,Fudi_mansionCaidi,,,401221,401221,,,,,,
1222,,Fudi_vegesow#0,,,401222,401222,,,,,,
1223,,Fudi_vegeplant,,,401223,401223,,,,,,
