id,icon,name,male,arg,need.part,need.pttid,repell
106001,ui/nielian/lianbuicon1_yanzhuangnv,伊人,False,eye_yanzhuang1/0,,,
106002,ui/nielian/lianbuicon2_yanzhuangnv,在林,False,eye_yanzhuang2/0,,,
106003,ui/nielian/lianbuicon3_yanzhuangnv,斑斓,False,eye_yanzhuang3/0,,,
106004,ui/nielian/lianbuicon4_yanzhuangnv,悠悠,False,eye_yanzhuang4/0,,,
106005,ui/nielian/lianbuicon5_yanzhuangnv,百里,False,eye_yanzhuang5/0,,,
106007,ui/nielian/lianbuicon6_yanzhuangnv,凤栖,False,eye_yanzhuang7/0,,,
106008,ui/nielian/lianbuicon7_yanzhuangnv,南斋,False,eye_yanzhuang8/0,,,
106009,ui/nielian/lianbuicon8_yanzhuangnv,画船,False,eye_yanzhuang9/0,,,
106010,ui/nielian/lianbuicon9_yanzhuangnv,秋蓉,False,eye_yanzhuang10/0,,,
106011,ui/nielian/lianbuicon11_yanzhuangnv,蝶妆,False,eye_yanzhuang11/0,,,
106012,ui/nielian/lianbuicon10_yanzhuangnv,星幻,False,eye_yanzhuang12/0,,,
106013,ui/nielian/lianbuicon12_yanzhuangnv,金粉,False,eye_yanzhuang13/0,,,
106014,ui/nielian/lianbuicon13_yanzhuangnv,舞彩,False,eye_yanzhuang14/0,,,
106015,ui/nielian/lianbuicon14_yanzhuangnv,峨眉,False,eye_yanzhuang15/0,,,
106016,ui/nielian/lianbuicon15_yanzhuangnv,馨缘,False,eye_yanzhuang16/0,,,
206001,ui/nielian/lianbuicon1_yanzhuangnan,剪影,True,eye_yanzhuang1/0,,,
206002,ui/nielian/lianbuicon2_yanzhuangnan,浅唱,True,eye_yanzhuang2/0,,,
206003,ui/nielian/lianbuicon3_yanzhuangnan,倚楼,True,eye_yanzhuang3/0,,,
