id,icon,name,desc,male,files,repell,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,quality,pos.x,pos.y,bone,idle_anim,fix_attr.decos.decos.type,fix_attr.decos.decos.change_value,fix_attr.decos.decos.change_percent,fix_attr.decos.decos.type,fix_attr.decos.decos.change_value,fix_attr.decos.decos.change_percent,fix_attr.levelup_growth,levelup_pttid,origins
110000,ui/hzicon/yichu/yifunv_jinxiu,锦绣,这大好的锦绣江山，少了你，怎么够？,False,spines/zhujue/huanzhuangNv/jinxiunv_yifu,,HZ_FANHUA,308,,HZ_CAIZIJIAREN,238,,HZ_RUYADUANZHUANG,205,,HZ_SHIWEN,250,,FG_GUANCHANG,800,,FG_SHENGDIAN,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20002,1,
110001,ui/hzicon/yichu/yifunv_weiyang,未央,纯棉质地的蓝色衣裳，样式虽然简朴，其中的相接缝合之处，却别有一份心思。,False,spines/zhujue/huanzhuangNv/weiyangnv_yifu,,HZ_JIANYUE,288,,HZ_QINGCHUN,245,,HZ_RUYADUANZHUANG,218,,HZ_SHIWEN,250,,FG_SHUMO,800,,FG_XIUXIAN,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20004,1,1006
110002,ui/hzicon/yichu/yifunv_baijiang,白江,皎洁的月光洒在江面上，如梦如幻。,False,spines/zhujue/huanzhuangNv/baijiangnv_yifu,,HZ_JIANYUE,245,,HZ_HUOPO,210,,HZ_FENGLIUWUMEI,182,,HZ_QINGLIANG,250,,FG_YUANYOU,800,,FG_XIUXIAN,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20007,1,
110003,ui/hzicon/yichu/yifunv_huamei,画眉,清晨帘幕卷轻霜。呵手试梅妆。,False,spines/zhujue/huanzhuangNv/huameinv_yifu,,HZ_CHENGSHU,343,,HZ_FENGLIUWUMEI,298,,HZ_CAIZIJIAREN,252,,HZ_QINGLIANG,350,,FG_WUYI,800,,FG_YUANYOU,600,,,,,4,,,,,PHYSICAL_DEFENCE,288,,MAGICAL_DEFENCE,228,,20011,1,400
110004,ui/hzicon/yichu/yifunv_lingdong,灵动,福如东海，寿比南山！,False,spines/zhujue/huanzhuangNv/lingdongnv_yifu,,HZ_HUOPO,290,,HZ_QINGCHUN,245,,HZ_FANHUA,215,,HZ_SHIWEN,250,,FG_WUYI,800,,FG_XIJU,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20016,1,100
110005,ui/hzicon/yichu/yifunv_yemao,夜猫,天底下竟有如此精致考究的夜行衣！,False,spines/zhujue/huanzhuangNv/yemaonv_yifu,,HZ_CHENGSHU,242,,HZ_FENGLIUWUMEI,200,,HZ_YONGMENGYINGZI,195,,HZ_QINGLIANG,250,,FG_YEXING,800,,FG_YUNDONG,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20020,1,100
110006,ui/hzicon/yichu/yifunv_huazhiming,花之茗,花前月下，为君斟一杯热酒。,False,spines/zhujue/huanzhuangNv/huazhimingnv_yifu,,HZ_FANHUA,280,,HZ_FENGLIUWUMEI,255,,HZ_FANHUA,215,,HZ_SHIWEN,250,,FG_SHENGDIAN,800,,FG_CHUANYUE,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20024,1,100
110007,ui/hzicon/yichu/yifunv_mousi,谋思,读书破万卷，下笔如有神。,False,spines/zhujue/huanzhuangNv/mousinv_yifu,,HZ_RUYADUANZHUANG,399,,HZ_CHENGSHU,368,,HZ_CAIZIJIAREN,284,,HZ_SHIWEN,350,,FG_SHUMO,800,,FG_HUAYU,600,,,,,4,,,,,PHYSICAL_DEFENCE,360,,MAGICAL_DEFENCE,285,,20027,1,400
110008,ui/hzicon/yichu/yifunv_qingyu,清雨,清明时节雨纷纷，路上行人欲断魂。,False,spines/zhujue/huanzhuangNv/qingyunv_yifu,,HZ_CHENGSHU,235,,HZ_FENGLIUWUMEI,208,,HZ_FANHUA,195,,HZ_QINGLIANG,250,,FG_YUANYOU,800,,FG_XIUXIAN,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20029,1,100
110009,ui/hzicon/yichu/yifunv_mizong,秘踪,愿我化作一道夜空中的光。,False,spines/zhujue/huanzhuangNv/mizongnv_yifu,,HZ_JIANYUE,245,,HZ_HUOPO,208,,HZ_YONGMENGYINGZI,185,,HZ_QINGLIANG,250,,FG_JIANGHU,800,,FG_YUNDONG,600,,,,,3,,,,,PHYSICAL_DEFENCE,101,,MAGICAL_DEFENCE,101,,20031,1,30002
110010,ui/hzicon/yichu/yifunv_qingtian,青天,待上浓妆戏一场，谁人台上谁人观？,False,spines/zhujue/huanzhuangNv/qingtiannv_yifu,,HZ_FANHUA,446,,HZ_RUYADUANZHUANG,422,,HZ_FENGLIUWUMEI,355,,HZ_BAONUAN,480,,FG_XIJU,800,,FG_WUYI,600,,,,,5,,,,,PHYSICAL_DEFENCE,660,,MAGICAL_DEFENCE,660,,20035,1,100
110011,ui/hzicon/yichu/yifunv_moran,墨染,赫于城邦闹市何如？隐于乡郊绿野何如？所见所闻所思所想，皆有收获。,False,spines/zhujue/huanzhuangNv/morannv_yifu,,HZ_HUOPO,288,,HZ_QINGCHUN,238,,HZ_JIANYUE,225,,HZ_SHIWEN,250,,FG_XIUXIAN,800,,FG_JIANGHU,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20038,1,100
110012,ui/hzicon/yichu/yifunv_xialu,侠路相逢,江湖路上雨纷纷，鲜有相逢，独自钟情。,False,spines/zhujue/huanzhuangNv/jianxiaqingyuannv_yifu,,HZ_JIANYUE,290,,HZ_YONGMENGYINGZI,240,,HZ_HUOPO,220,,HZ_SHIWEN,250,,FG_JIANGHU,800,,FG_ZHENGZHAN,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20042,1,10
110013,ui/hzicon/yichu/yifunv_taohua,桃花,小花白碧桃，大花红碧桃，拨开三两枝，与君共园游。,False,spines/zhujue/huanzhuangNv/taohuanv_yifu,,HZ_FANHUA,322,,HZ_RUYADUANZHUANG,315,,HZ_QINGCHUN,256,,HZ_BAONUAN,350,,FG_YUANYOU,800,,FG_XIJU,600,,,,,4,,,,,PHYSICAL_DEFENCE,346,,MAGICAL_DEFENCE,274,,20046,1,400
110014,ui/hzicon/yichu/yifunv_fanxing,繁星,天上点点繁星，摘下一颗来送我，好不好……,False,spines/zhujue/huanzhuangNv/xingkongnv_yifu,,HZ_FANHUA,396,,HZ_RUYADUANZHUANG,332,,HZ_FENGLIUWUMEI,322,,HZ_SHIWEN,350,,FG_CHUANYUE,800,,FG_SHENGDIAN,600,,,,,4,,,,,PHYSICAL_DEFENCE,374,,MAGICAL_DEFENCE,296,,20050,1,400
110015,ui/hzicon/yichu/yifunv_huahuo,花火,花火的光芒照亮了整个夜空，好美……,False,spines/zhujue/huanzhuangNv/huahuonv_yifu,,HZ_YONGMENGYINGZI,238,,HZ_FANHUA,220,,HZ_FENGLIUWUMEI,180,,HZ_QINGLIANG,250,,FG_ZHENGZHAN,800,,FG_GUANCHANG,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20052,1,30002
110016,ui/hzicon/yichu/yifunv_gongxin,宫心,这深宫中的心事，岂是三言两语能道明。,False,spines/zhujue/huanzhuangNv/gongxinnv_yifu,,HZ_RUYADUANZHUANG,318,,HZ_CAIZIJIAREN,312,,HZ_FANHUA,262,,HZ_BAONUAN,350,,FG_GUANCHANG,800,,FG_YUANYOU,600,,,,,4,,,,,PHYSICAL_DEFENCE,302,,MAGICAL_DEFENCE,239,,20056,1,100
110017,ui/hzicon/yichu/yifunv_huancai,幻彩,若能穿上这身七色霓裳，成为那万众瞩目的对象，又有什么难。,False,spines/zhujue/huanzhuangNv/huancainv_yifu,,HZ_RUYADUANZHUANG,275,,HZ_CAIZIJIAREN,260,,HZ_QINGCHUN,215,,HZ_SHIWEN,250,,FG_GUANCHANG,800,,FG_HUAYU,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20061,1,100
110018,ui/hzicon/yichu/yifunv_hongjian,红笺,很久很久以前，就有传说，只要两个有情有意之人，同牵一根红线，就能白头到老永不分离……,False,spines/zhujue/huanzhuangNv/hongjiannv_yifu,,HZ_FENGLIUWUMEI,562,,HZ_RUYADUANZHUANG,442,,HZ_FANHUA,437,,HZ_SHIWEN,480,,FG_HUNFU,800,,FG_GUANCHANG,600,,,,,5,,,,,PHYSICAL_DEFENCE,739,,MAGICAL_DEFENCE,739,,20063,1,30002
110019,ui/hzicon/yichu/yifunv_ansheng,安生,王者仁心，天地可鉴！,False,spines/zhujue/huanzhuangNv/anshengnv_yifu,,HZ_QINGCHUN,262,,HZ_HUOPO,200,,HZ_JIANYUE,175,,HZ_QINGLIANG,250,,FG_XIUXIAN,800,,FG_YUANYOU,600,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20066,1,30002
110020,ui/hzicon/yichu/yifunv_huangshi,皇室来宾,你于我相见于此，可曾动心？可曾动情？,False,spines/zhujue/huanzhuangNv/huangshilaibinnv_yifu,,HZ_FANHUA,388,,HZ_QINGCHUN,364,,HZ_RUYADUANZHUANG,298,,HZ_SHIWEN,350,,FG_CHUANYUE,800,,FG_WUYI,600,,,,,4,,,,,PHYSICAL_DEFENCE,302,,MAGICAL_DEFENCE,239,,20069,1,100
110021,ui/hzicon/yichu/yifunv_shufang,淑芳,赵女弹箜篌，复能邯郸舞。,False,spines/zhujue/huanzhuangNv/shufangnv_yifu,,HZ_CAIZIJIAREN,410,,HZ_JIANYUE,329,,HZ_CHENGSHU,312,,HZ_SHIWEN,350,,FG_HUAYU,800,,FG_ZOUYUE,600,,,,,4,,,,,PHYSICAL_DEFENCE,302,,MAGICAL_DEFENCE,239,,20072,1,100
110022,ui/hzicon/yichu/yifunv_wangdie,王蝶,小小的蝴蝶飞啊飞，在天上，在地上，在你我的心头上。,False,spines/zhujue/huanzhuangNv/wangdienv_yifu,,HZ_QINGCHUN,346,,HZ_HUOPO,294,,HZ_JIANYUE,252,,HZ_QINGLIANG,350,,FG_XIJU,800,,FG_WUYI,600,,,,,4,,,,,PHYSICAL_DEFENCE,302,,MAGICAL_DEFENCE,239,,20076,1,100
110023,ui/hzicon/yichu/yifunv_zhizi,执子,执子之手，与子偕老。,False,spines/zhujue/huanzhuangNv/zhizinv_yifu,,HZ_FANHUA,581,,HZ_RUYADUANZHUANG,466,,HZ_CHENGSHU,394,,HZ_SHIWEN,480,,FG_HUNFU,800,,FG_GUANCHANG,600,,,,,5,,,,,PHYSICAL_DEFENCE,825,,MAGICAL_DEFENCE,825,,20080,1,400
110024,ui/hzicon/yichu/yifunv_changle,常乐,好雨知时节，当春乃发生。,False,spines/zhujue/huanzhuangNv/changlenv_yifu,,HZ_FANHUA,406,,HZ_CHENGSHU,346,,HZ_RUYADUANZHUANG,298,,HZ_SHIWEN,350,,FG_SHUMO,800,,FG_GUANCHANG,600,,,,,4,,,,,PHYSICAL_DEFENCE,346,,MAGICAL_DEFENCE,274,,20083,1,400
110025,ui/hzicon/yichu/yifunv_dingguo,定国,醉里挑灯看剑，梦回吹角连营。,False,spines/zhujue/huanzhuangNv/dingguonv_yifu,,HZ_JIANYUE,290,,HZ_YONGMENGYINGZI,238,,HZ_CHENGSHU,222,,HZ_SHIWEN,250,,FG_ZHENGZHAN,1000,,,,,,,,3,,,,,PHYSICAL_DEFENCE,96,,MAGICAL_DEFENCE,96,,20087,1,30002
110026,ui/hzicon/yichu/yifunv_jinyiwei,锦衣卫,饮马渡秋水，水寒风似刀。,False,spines/zhujue/huanzhuangNv/jinyiweinv_yifu,,HZ_YONGMENGYINGZI,438,,HZ_FANHUA,312,,HZ_CHENGSHU,301,,HZ_SHIWEN,350,,FG_YEXING,800,,FG_JIANGHU,600,,FG_ZHENGZHAN,300,,4,,,,,PHYSICAL_DEFENCE,346,,MAGICAL_DEFENCE,274,,20090,1,30002
