id,icon,name,male,arg,arg,arg,need.part,need.pttid,repell
108001,ui/nielian/lianbuicon6_zuichunnv,淑德,False,mouse6/sc0,mouse6/xc0,mouse6/sd,,,
108002,ui/nielian/lianbuicon1_zuichunnv,点绛,False,mouse1/sc0,mouse1/xc0,mouse1/sd,,,
108003,ui/nielian/lianbuicon2_zuichunnv,出水,False,mouse2/sc0,mouse2/xc0,mouse2/sd,,,
108004,ui/nielian/lianbuicon3_zuichunnv,桃季月,False,mouse3/sc0,mouse3/xc0,mouse3/sd,,,
108005,ui/nielian/lianbuicon4_zuichunnv,含苞,False,mouse4/sc0,mouse4/xc0,mouse4/sd,,,
108006,ui/nielian/lianbuicon5_zuichunnv,琪花,False,mouse5/sc0,mouse5/xc0,mouse5/sd,,,
108007,ui/nielian/lianbuicon7_zuichunnv,幽香,False,mouse7/sc0,mouse7/xc0,mouse7/sd,,,
108008,ui/nielian/lianbuicon8_zuichunnv,沐雨,False,mouse8/sc0,mouse8/xc0,mouse8/sd,,,
108009,ui/nielian/lianbuicon9_zuichunnv,浅怀,False,mouse9/sc0,mouse9/xc0,mouse9/sd,,,
208001,ui/nielian/lianbuicon6_zuichunnan,竹秋,True,mouse6/sc0,mouse6/xc0,mouse6/sd,,,
208002,ui/nielian/lianbuicon1_zuichunnan,小清明,True,mouse1/sc0,mouse1/xc0,mouse1/sd,,,
208003,ui/nielian/lianbuicon2_zuichunnan,仲夏,True,mouse2/sc0,mouse2/xc0,mouse2/sd,,,
208004,ui/nielian/lianbuicon3_zuichunnan,暮商,True,mouse3/sc0,mouse3/xc0,mouse3/sd,,,
208005,ui/nielian/lianbuicon4_zuichunnan,奔雷,True,mouse4/sc0,mouse4/xc0,mouse4/sd,,,
208006,ui/nielian/lianbuicon5_zuichunnan,万语,True,mouse5/sc0,mouse5/xc0,mouse5/sd,,,
208007,ui/nielian/lianbuicon7_zuichunnan,七弦,True,mouse7/sc0,mouse7/xc0,mouse7/sd,,,
208008,ui/nielian/lianbuicon8_zuichunnan,暮蝉,True,mouse8/sc0,mouse8/xc0,mouse8/sd,,,
208009,ui/nielian/lianbuicon9_zuichunnan,羁旅,True,mouse9/sc0,mouse9/xc0,mouse9/sd,,,
208010,ui/nielian/lianbuicon10_zuichunnan,灵犀,True,mouse10/sc0,mouse10/xc0,mouse10/sd,,,
208011,ui/nielian/lianbuicon11_zuichunnan,浪迹,True,mouse11/sc0,mouse11/xc0,mouse11/sd,,,
208012,ui/nielian/lianbuicon12_zuichunnan,朗逸,True,mouse12/sc0,mouse12/xc0,mouse12/sd,,,
208013,ui/nielian/lianbuicon13_zuichunnan,玄远,True,mouse13/sc0,mouse13/xc0,mouse13/sd,,,
